"Name,Type,Pattern/Algorithm/Sub-type,Level,CTCI Num,URL,Date tested,Days Since Practiced,Times practiced,Time,Space,Notes ,See Problems,
Check Permutation,Arrays and Strings,,Easy,1.2,https://www.geeksforgeeks.org/check-if-two-strings-are-permutation-of-each-other/,1/9/2023,7,1,O(N),O(1),"first iterate over s1 storing chars as keys and the frequency of chars as values. Next iterate over s2, checking whether each char in s2 is not contained as a key in the hash, in which case return false, or, if char in s2 is in the hash, decrement the char's count in the hash.",,
Caeser's Cipher,Arrays and Strings,,Easy,1123,https://www.geeksforgeeks.org/caesar-cipher-in-cryptography/,1/10/2023,6,1,O(N),O(N),"input: string, number k. output: string. Init alphabet and encrypted word. Loop over the input string. Set the old index of the letter as alphabet.indexOf(char). Set the new index as (old index + k) mod 26. Append the new index'th element from the alphabet to the encrypted word string. return encrypted.",,
URlify,Arrays and Strings,,Easy,1.3,https://www.geeksforgeeks.org/urlify-a-given-string-replace-spaces-with-%20/,11/22/2022,55,3,O(N),O(1),"input: string. ouput: string. method 1: use javascript's replaceAll() method with a first input param of ' ' and a second input param '%20'. Method 2: use javascript's replaace() function with input params / /g, '%20'. Method 3: convert the string into an array. iterate over the array. if the char in the array is strictly equal to ' ' then call splice(i, 1, '%20'). Calling splice will delete the ' ' and insert the '%20' in its place.",,
Palindrome Permutations,Arrays and Strings,,Easy,1.4,https://leetcode.ca/all/266.html,1/4/2023,12,2,O(N),O(N),"Input: string. Output: bool. Convert input string into lowercase. Strip the spaces out with /\s/g, replacing with empty char. Init hash. Iterate over string. If each char in string is not an empty space, set char as key and frequency of key as value. Let value be current value + 1 or 1. Init odds state var. Loop through the keys of the hash. if the frequency (value) is not divisible by 2 then increment odds state var. Return whether or not odds is less than or equal to 1, since a palindrome has at most one char with an odd frequency. ",,
One Edit Away,Arrays and Strings,,Medium,1.5,https://leetcode.ca/all/161.html,11/24/2022,53,1,O(N),O(1),"inputs: two strings. output: bool. First check the lengths of string1, string2. If lengths are equal then call the checkEditOneAway helper. If lengths are different by +/-1, then check oneReplacementAway helper. ",,
Valid Palindrome,Arrays and Strings,palindrome,Easy,,https://leetcode.com/problems/valid-palindrome/,1/9/2023,7,3,O(N),O(1),loop over the string and check for equality between the front char and last char. if the two operands are not equal return false. Outside the loop return true.,,
Regex Replace Methods,Arrays and Strings,Regex,Easy,1123,1123,1/9/2023,1,1,O(N),O(1),remove spaces: /[\s]/g. Remove punctuation: /[^\w]/g. Remove all stuff except lower cases: /[^\w]/g...toLowerCase().,,
String Compression,Arrays and Strings,,Medium,1.6,https://leetcode.com/problems/string-compression/,12/26/2022,21,1,O(N),O(N),use count for state. compare str[x] and str[x+1]. append char count times to newString. reset charCount back to 0.,,
isUnique,Arrays and Strings,,Easy,1.1,https://www.geeksforgeeks.org/determine-string-unique-characters/,11/24/2022,53,1,O(N),O(N),"use hash to store chars as keys and a boolean as value. If the hash of a char is true, then the char is a repeat and the function returns false. Return true.",,
Rotate Matrix,Arrays and Strings,,,1.7,1123,1123,,,1123,1123,,,
Zero Matrix,Arrays and Strings,,,1.8,1123,1123,,,1123,1123,,,
String Rotation,Arrays and Strings,,,1.9,1123,1123,,,1123,1123,,,
Closest Value,Decrease and Conquer,,Medium,,https://www.geeksforgeeks.org/find-closest-number-array/,12/8/2022,39,1,O(log(N)),O(N),"- init start, mid, end idxs. Init closest as ∞.  Init hash and result array. Loop while startIdx is less than endIdx. Find the element at the current middle index. Calculate the difference between the element at the current middle index and the target. Then check if the present difference is smaller than the closest. The closest var represents the element from the array characterized by having the smallest difference with the input parameter called target. Set the closest var equal to the difference if the difference is smaller than closest. Also, add the element from the current middle position of the array as a key in the hash, where the value is the difference between the key and the target input value. Then, continue the binary search pattern. If the target input is greater than the middle element, move the start index one position past the current middle index, otherwise move the end index to the current middle position. Lastly, loop through the keys of the hash, storing keys whose value equals the closest var to into a result array. Return the 0th element from the array. ",Find k closest elements,
Euclid's Algorithm,Decrease and Conquer,,Medium,,https://www.geeksforgeeks.org/euclidean-algorithms-basic-and-extended/,12/4/2022,43,1,O(log(N)),O(1),"In the search for the greatest common divisor between two numbers a and b, where a is greater, then what the function must do is take the difference between a and b,  some c, then find the difference between b and c, then find the difference...and so on until the two numbers are (x, 0). When the second coordinate is 0 then x is the greatest common divisor of a and b. Loop while b > 0. Init temp var and declare temp equal to a - b. Then set [a, b] to [b, temp]. Return A which will be the GCD since it satisfies (A, O). ",,
Rotated Array Search,Decrease and Conquer,,Medium,,https://leetcode.com/problems/search-in-rotated-sorted-array/,12/28/2022,19,1,O(log(N)),O(1),"One side must always be sorted. Check it the target to the left or the right of the midIdx. Both sets of calls to shift the endIdx or startIdx are nested inside the logic that checks whether the left array is sorted or the right array is sorted. If the value at the start index is less than the value at the middle index, the left side must be sorted.",,
Peasant Multiplication,Decrease and Conquer,,Medium,,,1/10/2023,6,1,O(log(N)),O(1),Peasant multiplication works by initializing an accumulator variable. The function then initializes a while loop. Basically the function will cut the a var over and over and double the b var over and over. This process stops when a is 0 or lower. If a mod 2 is 1 then the accumulator increases by b. After each check of whether a mod 2 is 1 a is halved with parseInt and b is doubled. Return accumulator. ,,
Number of Ones,Decrease and Conquer,,Easy,1123,https://www.geeksforgeeks.org/count-1s-sorted-binary-array/,1/10/2023,6,2,O(log(N)),O(1),"Set start and end indexes. set the middle index to the result of the start index + (endindex - startIndex)/2. Be sure the second term endIdx - startIdx / 2 is parsed as an integer. If the element in the middle of the array being searched is 0, then set start index to the middle index plus on. Otherwise, look left by moving the end index to the middle index. At some point, start index + 1 will cause the while loop to terminate, as startIdx will be greater than endIdx. Return the result of the array's length less the start index. ",,
Greater Values,Decrease and Conquer,,Medium,,https://www.geeksforgeeks.org/find-the-number-of-elements-greater-than-k-in-a-sorted-array/,12/8/2022,39,1,O(log(N)),O(1),"Validate first. If the target is greater than the last element of input, return 0. Init three indices, start, mid, and end. Loop while the start is less than or equal to the end. As always the middle index will be the start index plus the result of parsing (end - start)/2. Compare the element at the middle index with the target in order to decide whether the target is greater than or equal to the middle element, which is when the start index location should change. If the target is not greater than the middle element then move the end index location. The while loop will terminate when the middle element will equal the target element, and start is incremented such that start exceeds end. After the while loop return the result of array.length less the middle index.",,
Square Root,Decrease and Conquer,,Easy,,https://www.geeksforgeeks.org/square-root-of-an-integer/,12/8/2022,39,1,O(log(N)),O(1),when updating start or end idx move to midIdx +/- 0.0000001. Apply .toFixed() method. Let mid be start + end / 2. ,,
Word Count,Frequency Count,,Easy,,,12/10/2022,37,1,O(N),O(N),"First, strip out the punctuation with regex replace on the expression /[^\w\s]/g. ",,
Uniques Only,Frequency Count,,Easy,,,12/10/2022,37,1,O(N),O(N),"Init accumulator array. Loop over the input arr. If the array does not include the element from the input arr, push the element into the array. return accumulator array. The return array must return only unique values;  no duplicates are allowed in the return array. // Method two. loop over array checking index of ele in the accumulator array and if index is -1 push ele into accumulator array then return accumulator. ",,
Missing Number,Frequency Count,,Easy,,,12/22/2022,25,1,O(N),O(N),"Loop from 1 to N, setting each value as the key to a hash and setting the key's value as 1 or 1 plus the current value. The resulting hash keeps track of numbers in the original array from 1 to N. Finally loop from 1 to N+1. If the value y from 1 to N+1 is not part of the hash, then push y to the result array. Return result array.",,
Two Sum,Frequency Count,,Easy,,,12/10/2022,37,1,O(N),O(N),"Put all of the array elements into a hash. Store array elements as keys and a true bool as value. Loop through the keys of the hash. If the result of the given sum in the input param minus the present key equals one of the other keys in the hash return true. If hash[target-key] === true) then the result of the target minus the key means there is a key in the hash, which, combined with the present key, equals the target. Return false. ",,
Letter Sort,Frequency Count,,Medium,,,12/22/2022,25,1,O(N),O(N),"The linear time solution uses arrays in a novel way and also uses unicode values. First convert the input string to all lowercase chars. Next, init chararacters array with 26 slots and fill the slots with 0s. Init result word. Loop over the lowercase string, setting the key at characters[string[ i ].CharCodeAt() - 97]  to be 1 or increase by 1. The 26-element array is set up for processing the characters in the input string. By doing CharCodeAtfor each letter, minus 97, the string increments the array elements. The array keeps track of the frequency of each letter in each of the 26 spots. So, ""abc"" would have an array [1, 1, 1....]. Finally, the return word pulls the letter from the array index, by doing String.fromCharCode(x+97), and then, doing .repeat on characters[ x ]. Finally, return the return word. ",,
Anagram Pair,Frequency Count,,Medium,,,12/10/2022,37,1,O(N),O(N),"*This function takes in two strings, string1 and string2, as input and check if they are anagrams. It first checks if the length of the two strings are equal, and if not, it immediately returns false. Then it creates two objects, hashN and hashM by calling the helper function charMapMaker and passing each of the input strings as an argument. This helper function loops through the characters in the passed string and adding them to the object as properties, with their value being the number of occurrences of that character in the string. Then, the main function loops through the properties of hashN, comparing the value of each property in hashN with the corresponding property in hashM. If any of these values are not equal, the function immediately returns false. If the function has not yet returned false, it means that the two input strings are anagrams of each other, and the function returns true.",,
Anagram Palindrome,Frequency Count,,Medium,,,12/10/2022,37,1,O(N),O(N),"This function takes in a single string as input and checks whether it can be reorganized to form a palindrome or not. It creates an empty object, hash, then loops through the characters in the passed string, adding them to the object as properties, with their value being the number of occurrences of that character in the string. Then it creates a variable oddsCounter initialized with 0 and loops through the properties of hash, and checks the value of each property, if it's not divisible by 2, then it increases the odds counter by 1. Finally, It compares the oddsCounter variable with 1, if it's greater then it returns false, which means that the input string cannot be reorganized to form a palindrome and if not then it returns true, which means that the input string can be reorganized to form a palindrome.",,
Bit Array Sort,Frequency Count,,Medium,,,12/22/2022,25,1,O(N),O(1),"This function sorts an array containing only 0s and 1s, by counting the number of zeroes in the input array using a variable zeroCount and then iterating over the array again to place the zeroes at the beginning of the array. The function then returns the sorted array.",Sort Integers by number of 1 bits,
Character Mode,Frequency Count,,Medium,,,1/11/2023,5,1,O(N) ,O(N),"This function sorts an array containing only 0s and 1s, by counting the number of zeroes in the input array using a variable zeroCount and then iterating over the array again to place the zeroes at the beginning of the array. The function then returns the sorted array.",,
Get Duplicates,Frequency Count,,Medium,,,12/22/2022,25,1,O(N),O(N),This function takes in an array of numbers and returns an array containing the duplicated elements present in the input array. The function creates a Hash map by iterating over the array and adding the elements as keys and their count as values. Then it iterates over the keys in the Hash map and only adds to the duplicatesArray if their count is greater than 1.,,
RGB,Frequency Count,,Medium,,,12/10/2022,37,1,O(N),O(N),"This function takes a string as input, it checks if the string has at least one occurrence of the characters 'r', 'g', 'b'. If it does not include any of those character, the function returns 0. Otherwise it creates a Hash map, iterating over the input string and counting the occurrences of each character. It then finds the minimum count of 'r', 'g' and 'b' from the Hash map, and returns it.",,
Sort Digits,Frequency Count,,Medium,,,12/23/2022,24,1,O(N),O(N),"This function takes an integer as an input, it sorts the digits of the number by building a hash table. The hash table stores the count of each digit in the input number. First the function uses a while loop to process the input number from right to left, by using the modulo operator to ""pop"" the digit off the number and storing the digit and it's count in the hash table. Then the function uses a for-loop to iterate through the hash table starting from the last index of digits which is 9 to 0. When it finds a digit that is present in the hash table, it multiplies that digit by an increasing power of 10( by using Math.pow(10,power) ) and adds it to the final result.",,
Graph class,Graph,Class method,Easy,,,01/09/23,7,1,O(1),O(N),This.storage is the only property on the graph class. The property is a hash map.,,
Add Vertex,Graph,Class method,,,,01/09/23,7,1,O(1),O(1),the addVertex(id) method is a member function of a graph class that takes a single argument id. it does the following: check if the vertex already exists in the storage using the given id. if it exists return false if it does not exist add the vertex to the storage with an empty array and return true.,,
Remove Vertex,Graph,Class method,,,,01/09/23,7,1,O(V+E),O(1),"The removeVertex(id) is a member function of a Graph class that takes a single argument, id.This function does the following steps: It checks if the vertex already exists in the storage using the given id. If it does not exist, it returns false. If it exists it loops through the storage, and for each vertex, it retrieves the edges in the storage and check if the id passed as parameter is present in the edges. If it is present it removes that edge using splice method, which removes the edge at a given index. Lastly, it deletes the vertex using the delete operator and returns true. This function is removing a vertex and all the edges that are connected to it on the graph.",,
Add Edge,Graph,Class method,,,,01/09/23,7,1,O(E),O(1),"The addEdge(id1, id2) is a member function of a Graph class that takes two arguments, id1 and id2. It does the following: It creates an empty array called vertexList. Iterates through the storage object and adds each vertex to the vertexList array. It checks if id1 and id2 exist in the vertexList array. If either one of them doesnt exist, it returns false. It adds the edge between id1 and id2 to the storage object and returns true. This function is adding an edge between two vertices in a Graph, It checks first if both id1 and id2 exist in the graph and if they exist it creates an edge between them.",,
Remove Edge,Graph,Class method,,,,01/09/23,7,1,O(1),O(1),"The removeEdge(id1, id2) is a member function of a Graph class that takes two arguments, id1 and id2. It does the following: It checks if id1 exists in the storage object, if it does not exist it return false. If it exists it retrieves the edges for the vertex, and checks if id2 is present as an edge. If it is present it removes that edge using the splice method, which removes the edge at a given index, then return true. If id1 doesn't exist in the storage object, it returns false. This function removes the edge between vertex id1 and id2, it checks if both vertices exist in the graph, if they exist it removes the edge between them.",,
Contains Vertex,Graph,Class method,,,,01/09/23,7,1,O(1),O(1),"The isVertex(id) is a member function of a Graph class that takes one argument id. It checks if a vertex exists in the storage object using the passed id, if it does exist it returns true, if not it returns false. This function is checking if a certain vertex is present in the graph or not by checking if it exists in the storage or not.",,
Find Neighbors,Graph,Class method,,,,01/09/23,7,1,O(1),O(E),"The neighbors(id) function is a member function of a Graph class that takes one argument id. It checks if the vertex exists in the storage object and if it does, it returns the edges for that vertex. If it does not exist, it returns null. This function allows to retrieve the neighbors of a certain vertex without modifying the graph storage.",,
Graph is a valid tree?,Graph,DS validation,,,,01/07/23,9,1,O(V+E),O(V),"return false if there are any islands. Use hash to track nodes which have been visited. If there is a node visited twice, then return false. The graphIsATree is a function that takes one argument graph which is supposed to be a graph. The function is checking if the given graph is a tree. It does the following: It checks for any islands by iterating through the graph object and for each vertex it checks if theres any edges, if theres none it returns false. It sets the root node as the first element in the graph object. Initializes a queue and a visited object. It performs a breadth-first search starting on the root node. For each node, it adds its edges to the queue and marks the node as visited in the visited object. If the loop ends and all the nodes have been visited it returns true, otherwise it returns false. This function is determining whether the input graph is a tree or not, it does that by checking if any vertices are disconnected from the graph and by checking if the graph is connected and doesnt have any cycles, if so, then its a tree, otherwise its not.",,
Binary Search Tree Validity,Hacking The Google Interview,BST-B,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Axis Aligned Rectangle,Hacking The Google Interview,BST-A,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Odd Man Out,Hacking The Google Interview,Frequency Count-B,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Doubly Linked List,Hacking The Google Interview,A,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Obstacle Avoidance,Hacking The Google Interview,Matrix - B,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Maximal Subarray,Hacking The Google Interview,Moving Window- B,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
TextEditor,Hacking The Google Interview,OOD-A,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
Queue Using Stacks,Hacking The Google Interview,Queues and Stacks - B,,,http://courses.csail.mit.edu/iap/interview/materials.php,,n/a,0,,,,,
